"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-28","0.00",,,"68","88","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-29","0.00",,,"67","78","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-30","0.00",,,"58","62","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-05-31","0.00",,,"57","63","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-01","0.00",,,"60","76","49"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-02","0.00",,,"68","88","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-03","0.00",,,"68","81","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-04","0.00",,,"62","68","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-05","0.00",,,"59","65","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-06","0.00",,,"58","63","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-07","0.00",,,"59","66","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-08","0.00",,,"60","70","53"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-09","0.00",,,"61","68","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-10","0.00",,,"60","69","50"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-11","0.00",,,"62","74","54"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-12","0.00",,,"68","81","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-13","0.00",,,"65","78","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-14","0.00",,,"63","73","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-15","0.00",,,"62","67","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-16","0.00",,,"62","72","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-17","0.00",,,"62","72","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-18","0.00",,,"64","74","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-19","0.00",,,"60","69","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-20","0.00",,,"59","67","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-21","0.00",,,"60","73","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-22","0.00",,,"66","85","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-23","0.00",,,"73","93","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-24","0.00",,,"69","80","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-25","0.00",,,"66","75","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-26","0.00",,,"62","73","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-27","0.00",,,"62","67","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-28","0.00",,,"61","68","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-29","0.00",,,"65","80","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-06-30","0.00",,,"70","88","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-01","0.00",,,"66","74","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-02","0.00",,,"64","72","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-03","0.00",,,"64","73","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-04","0.00",,,"65","73","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-05","0.00",,,"64","78","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-06","0.00",,,"70","84","64"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-07","0.00",,,"69","76","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-08","0.00",,,"66","75","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-09","0.00",,,"67","80","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-10","0.00",,,"70","80","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-11","0.00",,,"66","80","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-12","0.00",,,"67","79","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-13","0.00",,,"69","79","61"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-14","0.00",,,"66","75","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-15","0.00",,,"64","72","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-16","0.00",,,"64","76","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-17","0.00",,,"64","75","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-18","0.00",,,"65","77","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-19","0.00",,,"66","79","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-20","0.00",,,"68","83","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-21","0.00",,,"69","80","62"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-22","0.00",,,"67","77","62"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-23","0.00",,,"66","76","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-24","0.00",,,"66","76","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-25","0.00",,,"66","77","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-26","0.00",,,"64","71","59"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-27","0.00",,,"62","69","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-28","0.00",,,"62","74","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-29","0.00",,,"62","70","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-30","0.00",,,"63","71","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-07-31","0.00",,,"62","72","58"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-01","0.00",,,"62","69","57"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-02","0.00",,,"62","70","56"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-03","0.00",,,"64","80","55"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-04","0.00",,,"68","76","60"
"USW00093228","HAYWARD AIR TERMINAL, CA US","2018-08-05","0.00",,,"65","73","56"
